Precision: 0.5714285714285714 , Recall 0.5714285714285714 , F1 0.5714285714285714 , Coverage 1 
Precision: 0.9629629629629629 , Recall 0.9629629629629629 , F1 0.9629629629629629 , Coverage 1 
Precision: 0.9230769230769231 , Recall 0.9230769230769231 , F1 0.9230769230769231 , Coverage 1 
Precision: 0.9230769230769231 , Recall 0.9230769230769231 , F1 0.9230769230769231 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9473684210526315 , Recall 0.9473684210526315 , F1 0.9473684210526315 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9375 , Recall 0.9375 , F1 0.9375 , Coverage 1 
Precision: 0.7878787878787878 , Recall 0.7878787878787878 , F1 0.7878787878787878 , Coverage 1 
Precision: 0.9772727272727273 , Recall 0.9772727272727273 , F1 0.9772727272727273 , Coverage 1 
Precision: 0.92 , Recall 0.92 , F1 0.92 , Coverage 1 
Precision: 0.9705882352941176 , Recall 0.9705882352941176 , F1 0.9705882352941176 , Coverage 1 
Precision: 0.8888888888888888 , Recall 0.8888888888888888 , F1 0.8888888888888888 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9545454545454546 , Recall 0.9545454545454546 , F1 0.9545454545454546 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.5 , Recall 0.5 , F1 0.5 , Coverage 1 
Precision: 0.8478260869565217 , Recall 0.8478260869565217 , F1 0.8478260869565218 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.7105263157894737 , Recall 0.7105263157894737 , F1 0.7105263157894737 , Coverage 1 
Precision: 0.6875 , Recall 0.6875 , F1 0.6875 , Coverage 1 
Precision: 0.625 , Recall 0.625 , F1 0.625 , Coverage 1 
Precision: 0.7692307692307693 , Recall 0.7692307692307693 , F1 0.7692307692307693 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 0.5789473684210527 , Recall 0.5789473684210527 , F1 0.5789473684210527 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.7857142857142857 , Recall 0.7857142857142857 , F1 0.7857142857142857 , Coverage 1 
Precision: 0.8266666666666667 , Recall 0.8266666666666667 , F1 0.8266666666666667 , Coverage 1 
Precision: 0.9090909090909091 , Recall 0.9090909090909091 , F1 0.9090909090909091 , Coverage 1 
Precision: 0.8076923076923077 , Recall 0.8076923076923077 , F1 0.8076923076923077 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8148148148148148 , Recall 0.8148148148148148 , F1 0.8148148148148148 , Coverage 1 
Precision: 0.9583333333333334 , Recall 0.9583333333333334 , F1 0.9583333333333334 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9666666666666667 , Recall 0.9666666666666667 , F1 0.9666666666666667 , Coverage 1 
Precision: 0.8636363636363636 , Recall 0.8636363636363636 , F1 0.8636363636363636 , Coverage 1 
Precision: 0.8235294117647058 , Recall 0.8235294117647058 , F1 0.8235294117647058 , Coverage 1 
Precision: 0.85 , Recall 0.85 , F1 0.85 , Coverage 1 
Precision: 0.96 , Recall 0.96 , F1 0.96 , Coverage 1 
Precision: 0.8974358974358975 , Recall 0.8974358974358975 , F1 0.8974358974358975 , Coverage 1 
Precision: 0.9411764705882353 , Recall 0.9411764705882353 , F1 0.9411764705882353 , Coverage 1 
Precision: 0.8846153846153846 , Recall 0.8846153846153846 , F1 0.8846153846153846 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.875 , Recall 0.875 , F1 0.875 , Coverage 1 
Precision: 0.9714285714285714 , Recall 0.9714285714285714 , F1 0.9714285714285714 , Coverage 1 
Precision: 0.8333333333333334 , Recall 0.8333333333333334 , F1 0.8333333333333334 , Coverage 1 
Precision: 0.8333333333333334 , Recall 0.8333333333333334 , F1 0.8333333333333334 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9142857142857143 , Recall 0.9142857142857143 , F1 0.9142857142857143 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9130434782608695 , Recall 0.9130434782608695 , F1 0.9130434782608695 , Coverage 1 
Precision: 0.8947368421052632 , Recall 0.8947368421052632 , F1 0.8947368421052632 , Coverage 1 
Precision: 0.9310344827586207 , Recall 0.9310344827586207 , F1 0.9310344827586207 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.95 , Recall 0.95 , F1 0.9500000000000001 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9545454545454546 , Recall 0.9545454545454546 , F1 0.9545454545454546 , Coverage 1 
Precision: 0.9565217391304348 , Recall 0.9565217391304348 , F1 0.9565217391304348 , Coverage 1 
Precision: 0.8461538461538461 , Recall 0.8461538461538461 , F1 0.8461538461538461 , Coverage 1 
Precision: 0.0 , Recall 0.0 , F1 0.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 0.8888888888888888 , Recall 0.8888888888888888 , F1 0.8888888888888888 , Coverage 1 
Precision: 0.9285714285714286 , Recall 0.9285714285714286 , F1 0.9285714285714286 , Coverage 1 
Precision: 0.8235294117647058 , Recall 0.8235294117647058 , F1 0.8235294117647058 , Coverage 1 
Precision: 0.9032258064516129 , Recall 0.9032258064516129 , F1 0.9032258064516129 , Coverage 1 
Precision: 0.8461538461538461 , Recall 0.8461538461538461 , F1 0.8461538461538461 , Coverage 1 
Precision: 0.8529411764705882 , Recall 0.8529411764705882 , F1 0.8529411764705882 , Coverage 1 
Precision: 0.875 , Recall 0.875 , F1 0.875 , Coverage 1 
Precision: 0.8181818181818182 , Recall 0.8181818181818182 , F1 0.8181818181818182 , Coverage 1 
Precision: 0.8913043478260869 , Recall 0.8913043478260869 , F1 0.8913043478260869 , Coverage 1 
Precision: 0.96875 , Recall 0.96875 , F1 0.96875 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9857142857142858 , Recall 0.9857142857142858 , F1 0.9857142857142858 , Coverage 1 
Precision: 0.9473684210526315 , Recall 0.9473684210526315 , F1 0.9473684210526315 , Coverage 1 
Precision: 0.9574468085106383 , Recall 0.9574468085106383 , F1 0.9574468085106385 , Coverage 1 
Precision: 0.9333333333333333 , Recall 0.9333333333333333 , F1 0.9333333333333333 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8571428571428571 , Recall 0.8571428571428571 , F1 0.8571428571428571 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8604651162790697 , Recall 0.8604651162790697 , F1 0.8604651162790697 , Coverage 1 
Precision: 0.9333333333333333 , Recall 0.9333333333333333 , F1 0.9333333333333333 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 0.8695652173913043 , Recall 0.8695652173913043 , F1 0.8695652173913043 , Coverage 1 
Precision: 0.96 , Recall 0.96 , F1 0.96 , Coverage 1 
Precision: 0.8571428571428571 , Recall 0.8571428571428571 , F1 0.8571428571428571 , Coverage 1 
Precision: 0.875 , Recall 0.875 , F1 0.875 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8571428571428571 , Recall 0.8571428571428571 , F1 0.8571428571428571 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.6666666666666666 , Recall 0.6666666666666666 , F1 0.6666666666666666 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 0.875 , Recall 0.875 , F1 0.875 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8571428571428571 , Recall 0.8571428571428571 , F1 0.8571428571428571 , Coverage 1 
Precision: 0.9166666666666666 , Recall 0.9166666666666666 , F1 0.9166666666666666 , Coverage 1 
Precision: 0.7142857142857143 , Recall 0.7142857142857143 , F1 0.7142857142857143 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.7878787878787878 , Recall 0.7878787878787878 , F1 0.7878787878787878 , Coverage 1 
Precision: 0.5555555555555556 , Recall 0.5555555555555556 , F1 0.5555555555555556 , Coverage 1 
Precision: 0.5714285714285714 , Recall 0.5714285714285714 , F1 0.5714285714285714 , Coverage 1 
Precision: 0.5714285714285714 , Recall 0.5714285714285714 , F1 0.5714285714285714 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 0.8888888888888888 , Recall 0.8888888888888888 , F1 0.8888888888888888 , Coverage 1 
Precision: 0.875 , Recall 0.875 , F1 0.875 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 0.9090909090909091 , Recall 0.9090909090909091 , F1 0.9090909090909091 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 0.7272727272727273 , Recall 0.7272727272727273 , F1 0.7272727272727273 , Coverage 1 
Precision: 0.896551724137931 , Recall 0.896551724137931 , F1 0.896551724137931 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 0.9310344827586207 , Recall 0.9310344827586207 , F1 0.9310344827586207 , Coverage 1 
Precision: 0.9622641509433962 , Recall 0.9622641509433962 , F1 0.9622641509433962 , Coverage 1 
Precision: 0.8571428571428571 , Recall 0.8571428571428571 , F1 0.8571428571428571 , Coverage 1 
Precision: 0.92 , Recall 0.92 , F1 0.92 , Coverage 1 
Precision: 0.8529411764705882 , Recall 0.8529411764705882 , F1 0.8529411764705882 , Coverage 1 
Precision: 0.8 , Recall 0.8 , F1 0.8000000000000002 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8846153846153846 , Recall 0.8846153846153846 , F1 0.8846153846153846 , Coverage 1 
Precision: 0.9285714285714286 , Recall 0.9285714285714286 , F1 0.9285714285714286 , Coverage 1 
Precision: 0.9090909090909091 , Recall 0.9090909090909091 , F1 0.9090909090909091 , Coverage 1 
Precision: 0.9444444444444444 , Recall 0.9444444444444444 , F1 0.9444444444444444 , Coverage 1 
Precision: 0.9666666666666667 , Recall 0.9666666666666667 , F1 0.9666666666666667 , Coverage 1 
Precision: 0.8518518518518519 , Recall 0.8518518518518519 , F1 0.8518518518518519 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8378378378378378 , Recall 0.8378378378378378 , F1 0.8378378378378378 , Coverage 1 
Precision: 0.9333333333333333 , Recall 0.9333333333333333 , F1 0.9333333333333333 , Coverage 1 
Precision: 0.9354838709677419 , Recall 0.9354838709677419 , F1 0.9354838709677419 , Coverage 1 
Precision: 0.9090909090909091 , Recall 0.9090909090909091 , F1 0.9090909090909091 , Coverage 1 
Precision: 0.875 , Recall 0.875 , F1 0.875 , Coverage 1 
Precision: 0.9473684210526315 , Recall 0.9473684210526315 , F1 0.9473684210526315 , Coverage 1 
Precision: 0.9122807017543859 , Recall 0.9122807017543859 , F1 0.9122807017543859 , Coverage 1 
Precision: 0.8181818181818182 , Recall 0.8181818181818182 , F1 0.8181818181818182 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.90625 , Recall 0.90625 , F1 0.90625 , Coverage 1 
Precision: 0.8823529411764706 , Recall 0.8823529411764706 , F1 0.8823529411764706 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8846153846153846 , Recall 0.8846153846153846 , F1 0.8846153846153846 , Coverage 1 
Precision: 0.9791666666666666 , Recall 0.9791666666666666 , F1 0.9791666666666666 , Coverage 1 
Precision: 0.8571428571428571 , Recall 0.8571428571428571 , F1 0.8571428571428571 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8 , Recall 0.8 , F1 0.8000000000000002 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8888888888888888 , Recall 0.8888888888888888 , F1 0.8888888888888888 , Coverage 1 
Precision: 0.8333333333333334 , Recall 0.8333333333333334 , F1 0.8333333333333334 , Coverage 1 
Precision: 0.967741935483871 , Recall 0.967741935483871 , F1 0.967741935483871 , Coverage 1 
Precision: 0.9090909090909091 , Recall 0.9090909090909091 , F1 0.9090909090909091 , Coverage 1 
Precision: 0.8636363636363636 , Recall 0.8636363636363636 , F1 0.8636363636363636 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9333333333333333 , Recall 0.9333333333333333 , F1 0.9333333333333333 , Coverage 1 
Precision: 0.9230769230769231 , Recall 0.9230769230769231 , F1 0.9230769230769231 , Coverage 1 
Precision: 0.875 , Recall 0.875 , F1 0.875 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9 , Recall 0.9 , F1 0.9 , Coverage 1 
Precision: 0.875 , Recall 0.875 , F1 0.875 , Coverage 1 
Precision: 0.9545454545454546 , Recall 0.9545454545454546 , F1 0.9545454545454546 , Coverage 1 
Precision: 0.9523809523809523 , Recall 0.9523809523809523 , F1 0.9523809523809523 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9444444444444444 , Recall 0.9444444444444444 , F1 0.9444444444444444 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.7142857142857143 , Recall 0.7142857142857143 , F1 0.7142857142857143 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9375 , Recall 0.9375 , F1 0.9375 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.6666666666666666 , Recall 0.6666666666666666 , F1 0.6666666666666666 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8 , Recall 0.8 , F1 0.8000000000000002 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9523809523809523 , Recall 0.9523809523809523 , F1 0.9523809523809523 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9230769230769231 , Recall 0.9230769230769231 , F1 0.9230769230769231 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9 , Recall 0.9 , F1 0.9 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8333333333333334 , Recall 0.8333333333333334 , F1 0.8333333333333334 , Coverage 1 
Precision: 0.6666666666666666 , Recall 0.6666666666666666 , F1 0.6666666666666666 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.6666666666666666 , Recall 0.6666666666666666 , F1 0.6666666666666666 , Coverage 1 
Precision: 0.9411764705882353 , Recall 0.9411764705882353 , F1 0.9411764705882353 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9285714285714286 , Recall 0.9285714285714286 , F1 0.9285714285714286 , Coverage 1 
Precision: 0.4 , Recall 0.4 , F1 0.4000000000000001 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.5 , Recall 0.5 , F1 0.5 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9333333333333333 , Recall 0.9333333333333333 , F1 0.9333333333333333 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.6363636363636364 , Recall 0.6363636363636364 , F1 0.6363636363636364 , Coverage 1 
Precision: 0.8333333333333334 , Recall 0.8333333333333334 , F1 0.8333333333333334 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8 , Recall 0.8 , F1 0.8000000000000002 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.7333333333333333 , Recall 0.7333333333333333 , F1 0.7333333333333333 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8235294117647058 , Recall 0.8235294117647058 , F1 0.8235294117647058 , Coverage 1 
Precision: 0.9166666666666666 , Recall 0.9166666666666666 , F1 0.9166666666666666 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.0 , Recall 0.0 , F1 0.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9333333333333333 , Recall 0.9333333333333333 , F1 0.9333333333333333 , Coverage 1 
Precision: 0.8888888888888888 , Recall 0.8888888888888888 , F1 0.8888888888888888 , Coverage 1 
Precision: 0.8823529411764706 , Recall 0.8823529411764706 , F1 0.8823529411764706 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.7692307692307693 , Recall 0.7692307692307693 , F1 0.7692307692307693 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8888888888888888 , Recall 0.8888888888888888 , F1 0.8888888888888888 , Coverage 1 
Precision: 0.7894736842105263 , Recall 0.7894736842105263 , F1 0.7894736842105263 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.7894736842105263 , Recall 0.7894736842105263 , F1 0.7894736842105263 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9444444444444444 , Recall 0.9444444444444444 , F1 0.9444444444444444 , Coverage 1 
Precision: 0.6666666666666666 , Recall 0.6666666666666666 , F1 0.6666666666666666 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.0 , Recall 0.0 , F1 0.0 , Coverage 1 
Precision: 0.6666666666666666 , Recall 0.6666666666666666 , F1 0.6666666666666666 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.3333333333333333 , Recall 0.3333333333333333 , F1 0.3333333333333333 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8 , Recall 0.8 , F1 0.8000000000000002 , Coverage 1 
Precision: 0.0 , Recall 0.0 , F1 0.0 , Coverage 1 
Precision: 0.8 , Recall 0.8 , F1 0.8000000000000002 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9230769230769231 , Recall 0.9230769230769231 , F1 0.9230769230769231 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9 , Recall 0.9 , F1 0.9 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9285714285714286 , Recall 0.9285714285714286 , F1 0.9285714285714286 , Coverage 1 
Precision: 0.8888888888888888 , Recall 0.8888888888888888 , F1 0.8888888888888888 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8421052631578947 , Recall 0.8421052631578947 , F1 0.8421052631578947 , Coverage 1 
Precision: 0.9411764705882353 , Recall 0.9411764705882353 , F1 0.9411764705882353 , Coverage 1 
Precision: 0.9 , Recall 0.9 , F1 0.9 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.5 , Recall 0.5 , F1 0.5 , Coverage 1 
Precision: 0.8636363636363636 , Recall 0.8636363636363636 , F1 0.8636363636363636 , Coverage 1 
Precision: 0.8636363636363636 , Recall 0.8636363636363636 , F1 0.8636363636363636 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9333333333333333 , Recall 0.9333333333333333 , F1 0.9333333333333333 , Coverage 1 
Precision: 0.8780487804878049 , Recall 0.8780487804878049 , F1 0.8780487804878049 , Coverage 1 
Precision: 0.9166666666666666 , Recall 0.9166666666666666 , F1 0.9166666666666666 , Coverage 1 
